Case Nbr,Location,Date and Time Reported,Date and Time of Occurrence,Synopsis,Disposition,Crime
210595,Z1B Parking Lot,08/15/2021 1008 hours,08/15/2021 1335 hours,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z1-B parking lot.",Open Inactive,Striking of unattended vehicle
210594,University Avenue,08/15/2021 0059 hours,08/15/2021 0057 hours,"An officer investigated a traffic accident involving damage to a vehicle, without injuries, which occurred in the 1500 block of University Avenue. A vehicle struck an occupied vehicle and left the scene.",Open Active,Vehicle accident
210593,Jones AT&T Stadium (Football),08/14/2021 1507 hours,08/14/2021 1507 hours,"An officer documented damaged property, which occurred at the Jones AT&T Stadium.",Incident Report - Case Closed,General Damaged Property
210592,West Hall,08/13/2021 1023 hours,08/13/2021 1023 hours,"An officer investigated a traffic accident, without injuries, involving a University vehicle, which occurred in the West Hall parking lot.",Incident Report - Case Closed,Vehicle accident
210591,Hartford Avenue,08/13/2021 0414 hours,08/13/2021 0414 hours,"An officer arrested  a non-student for driving while intoxicated, which occurred in the 1800  block of Hartford Avenue. The non-student was transported to the Lubbock County Jail and the vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,DUI
210589,Murdough Res. Hall,08/12/2021 1548 hours,08/12/2021 1400 hours,"An officer documented information in reference to a student receiving unwanted electronic communications from a non-student, which occurred at Murdough  Residence Hall.",Incident Report - Case Closed,Unwanted communication
210590,R3 Parking Lot,08/12/2021 1501 hours,Between08/12/2021 080008/12/2021 1225,"An officer documented information in reference to a damaged vehicle, which occurred  in the R3 parking lot. A faculty member's vehicle was damaged at an unknown location.",Incident Report - Case Closed,UNDEFINED
210586,Student Union Building,08/11/2021 1220 hours,08/11/2021 1220 hours,"An officer arrested  a student for theft, which occurred at the Student Union Building. A bicycle was stolen and recovered in the 3700 block of Erskine Street. The student was issued a criminal trespass warning for all Texas Tech property. The student was transported to the Lubbock County Jail and the  vehicle was released to the owner.",Cleared By Arrest,Bike theft
210585,Z3L Parking Lot,08/10/2021 2317 hours,08/10/2021 2317 hours,"An officer arrested  a non-student for evading arrest or detention and theft, which occurred  in the Z3-L parking lot. A bicycle was stolen and recovered. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Bike theft
210584,R20 Parking Lot,08/10/2021 1408 hours,Between08/09/2021 170008/09/2021 2000,"An officer investigated damaged property, which occurred in the R-20 parking lot. A vehicle was damaged.",Incident Report - Case Closed,General Damaged Property
210583,University Avenue,08/09/2021 2334 hours,08/09/2021 2334 hours,"An officer arrested  a non-student for possession of marijuana and possession of drug paraphernalia, which occurred in the 300 block of University Avenue, following a traffic stop. The non-student was transported to the Lubbock  County Jail and the vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,Possession of drug paraphernalia
210582,4th Street,08/08/2021 2330 hours,08/08/2021 2330 hours,"An officer arrested  a student for public intoxication, which occurred in the 3200 block of 4th Street, following a welfare check on a disabled vehicle. The student was transported to the Lubbock County Jail and the vehicle was left legally parked.",Cleared By Arrest,Public intoxication
210581,Jones AT&T Stadium (Football),08/08/2021 2129 hours,Between08/07/2021 180008/07/2021 2359,"An officer investigated burglary of a building, which occurred at Jones AT&T Stadium. Alcoholic beverages, uniforms and coolers were stolen and recovered.",Open Active,Building burglary
210580,Z6A Parking Lot,08/07/2021 1638 hours,08/07/2021 1638 hours,"An officer released  a non-student, pending the filing of charges, with the Lubbock County District Attorney's Office, for possession or use of identifying information, following a traffic stop in the Z6-A parking lot.",Open Active,UNDEFINED
210579,Z6A Parking Lot,08/07/2021 1638 hours,08/07/2021 1638 hours,"An officer arrested  a non-student for possession of marijuana and possession of drug paraphernalia, which occurred in the Z6-A parking lot. The non-student was transported to the Lubbock County Jail. The non-students vehicle was  released to a friend.",Cleared By Arrest,Possession of drug paraphernalia
210587,University Avenue,08/07/2021 0031 hours,08/07/2021 0031 hours,"An officer released  three juvenile non-students pending the filing of charges for possession of a controlled substance (MDMA) and possession of marijuana,  which occurred in the 1200 block of University Avenue. All three juveniles were released to their legal guardians and the vehicle was impounded by Lubbock Wrecker Services. See related case number 210578.",Disposition Pending,Possession of drug paraphernalia
210578,University Avenue,08/07/2021 0031 hours,08/07/2021 0031 hours,"An officer arrested  two non-students for possession of a controlled substance (MDMA) and possession of marijuana, following a traffic stop in the 900 block of University Avenue. One of the non-students was also arrested for unlawfully carrying a weapon (firearm). Both non-students were transported to the Lubbock County Jail. Three juveniles were released, pending the filing of charges, for possession of a controlled substance (MDMA) and possession of marijuana. The three juveniles were released to  their legal guardians and the vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,Possession of drug paraphernalia
210577,Akron Avenue,08/06/2021 0053 hours,08/06/2021 0053 hours,"An officer arrested  a student for public intoxication, which occurred in the 1400 block of Akron Avenue. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210576,Drive of Champions,08/05/2021 1637 hours,08/05/2021 1637 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred in the 2600 block of Drive of Champion's (R38 parking lot). The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210575,English & Philosophy,08/05/2021 1418 hours,Between08/04/2021 100008/05/2021 1145,"An officer investigated graffiti, which occurred on the northwest side of the English and Philosophy Building.",Open Inactive,Vandalisim
210574,Off Campus,08/05/2021 0002 hours,08/05/2021 0002 hours,"An officer arrested  a non-student for theft, criminal trespass and an instantered Lubbock County citation for possession of drug paraphernalia, which occurred in the 600 block of Avenue X. The non-student was re-issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210573,Athletic Offices,08/04/2021 1026 hours,03/07/2021 1200 hours,"An officer documented information in reference to stolen university property, which  occurred at the DFW airport. A university owned apple iPad pro was stolen.",Incident Report - Case Closed,General theft
210572,Off Campus,08/03/2021 2224 hours,Between08/03/2021 193008/03/2021 2121,"An officer documented information in reference to an alleged assault on a non-student, which occurred at an unknown location. The non-student was arrested for failure to identify (fugitive from justice) by the Lubbock Police Department. See LPD case #21-30008.",Incident Report - Case Closed,Assault
210571,Music,08/03/2021 1600 hours,Between06/18/2021 000006/18/2021 2359,"An officer investigated online impersonation of a staff member employed by the Texas Tech University School of Music. A former student is suspected of  creating a fraudulent email account, impersonating the staff member, and submitting false recommendations while seeking employment as a school teacher.",Open Active,Impersonation
210570,Architecture,08/02/2021 2014 hours,Between08/02/2021 090008/02/2021 1800,"An officer investigated theft, which occurred at the south side bicycle racks at the Architecture building. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
210569,Pedestrian Bridge # 2 (RHC/ASC),08/01/2021 1427 hours,08/01/2021 1427 hours,"An officer arrested  a non-student for an outstanding City of Lubbock warrant, which occurred on Pedestrian Bridge 2. The non-student was also given a criminal trespass warning for all Texas Tech property. The non-student was transported to the Lubbock County Jail.",Incident Report - Case Closed,Criminal trespass
210568,University Avenue,08/01/2021 1141 hours,08/01/2021 1141 hours,"An officer arrested  a non-student for possession of a controlled substance (THC Oil) and an  outstanding Lubbock Municipal warrant, following a traffic stop in the 700 block of University Avenue. The non-student was transported to the Lubbock County Jail and the vehicle was left legally parked.",Cleared By Arrest,Possession of drug paraphernalia
210566,Off Campus,08/01/2021 0118 hours,08/01/2021 0118 hours,"An officer arrested  a student for driving while intoxicated and evading arrest in a motor vehicle, which occurred in the 4800 block of Fordham Street. A non-student was arrested for interference with public duties. The student and non-student were transported to the Lubbock County Jail and the vehicle was towed by Lubbock Wrecker Services.",Cleared By Arrest,DUI
210565,19th Street,07/31/2021 2338 hours,07/31/2021 2338 hours,"An officer arrested  a non-student for two outstanding Lubbock County Sheriff's Office warrants, which occurred in the 2500 block of 19th Street. The non-student was transported to the Lubbock County Jail and the vehicle was released to a family member.",Cleared By Arrest,UNDEFINED
210564,University Avenue,07/31/2021 0143 hours,07/31/2021 0143 hours,"An officer arrested  a student for an outstanding Hale County warrant, which occurred in the  400 block of University Avenue. The student was transported to the Lubbock County Jail and the vehicle was released to a family member.",Cleared By Arrest,UNDEFINED
210562,Innovation Hub at Research Park,07/30/2021 1529 hours,07/30/2021 1529 hours,"An officer issued a  non-student a criminal trespass warning for all Texas Tech property, which occurred at the Innovation Hub at Research Park.",Incident Report - Case Closed,Criminal trespass
